"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,4224,286
2,53,9474,728
3,67,10746,981
4,59,10319,1119
5,35,8970,1231
6,33,7413,1100
7,29,5992,961
8,24,5256,865
9,28,4212,739
10,20,3425,621
11,14,2929,532
12,16,2412,435
13,12,1892,412
14,10,1674,342
15,15,1615,271
16,7,1286,229
17,11,1049,207
18,8,919,152
19,8,842,163
20,7,701,122
21,8,620,111
22,11,587,114
23,9,535,87
24,5,446,81
25,6,390,82
26,3,357,53
27,1,316,50
28,2,312,56
29,2,277,34
30,2,244,34
31,5,207,32
32,3,214,31
33,3,175,33
34,1,166,35
35,3,149,25
36,3,154,20
37,0,156,14
38,2,112,15
39,3,88,15
40,1,101,14
41,0,74,10
42,3,82,8
43,2,78,11
44,1,85,7
45,1,78,11
46,0,58,4
47,2,49,14
48,1,45,8
49,0,60,8
50,1,51,4
51,1,48,1
52,0,28,0
53,2,37,4
54,3,39,3
55,1,33,5
56,3,28,3
57,4,27,2
58,2,29,4
59,5,23,2
60,3,18,2
