"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-04-25
"20 - 24",5,0,106,0,111,2022-04-25
"25 - 29",4,0,178,11,193,2022-04-25
"30 - 34",7,1,311,13,332,2022-04-25
"35 - 39",3,0,395,26,424,2022-04-25
"40 - 44",8,6,493,48,555,2022-04-25
"45 - 49",9,4,877,92,982,2022-04-25
"50 - 54",16,3,1389,212,1620,2022-04-25
"55 - 59",28,7,1859,367,2261,2022-04-25
"60 - 64",24,12,2028,655,2719,2022-04-25
"65 - 69",36,15,1979,996,3026,2022-04-25
"70 - 74",28,14,1722,1320,3084,2022-04-25
"75 - 79",21,10,912,935,1878,2022-04-25
"80 - 84",11,5,215,297,528,2022-04-25
"85 - 89",0,2,42,50,94,2022-04-25
">90",0,0,6,4,10,2022-04-25
