"Week","Year","Overleden0_65","Overleden65_80","Overleden80+","Totaal_Overleden","Oversterfte0_65","Oversterfte65_80","Oversterfte80+","Oversterfte_Totaal","Oversterfte_Totaal_Gecorrigeerd","covid_sterfgevallen","DLModel_week_estimate","DLModel_upperbound95","DLModel_lowerbound95","Oversterfte_DLModel_cumul_low","Oversterfte_DLModel_cumul_mid","Oversterfte_DLModel_cumul_high","weekyear","excess_mortality_rivm","Covid_deaths_CBS_death_statistics","Mortality_without_covid_CBS","deaths_expected_cbs","excess_cbs_method","percent_excess"
10,2020,395,924,1893,3140,-52,-128,-283,-297,-463,3,5,5,5,5,5,5,"2020-10",NA,"5","3102",3315,-175,-5.3
11,2020,411,986,1930,3252,-35,-40,-106,-31,-181,36,35,35,35,40,40,40,"2020-11",NA,"35","3183",3253,-1,0
12,2020,450,1123,2165,3652,11,143,209,495,363,295,412,412,412,452,452,452,"2020-12",NA,"412","3202",3174,478,15.1
13,2020,503,1458,2651,4505,80,460,721,1373,1261,797,1250,1250,1250,1702,1702,1702,"2020-13",NA,"1250","3208",3104,1401,45.1
14,2020,501,1563,3199,5139,78,609,1373,2142,2060,1185,1921,1921,1921,3623,3623,3623,"2020-14",NA,"1921","3164",3024,2115,69.9
15,2020,487,1492,3178,5035,76,541,1407,2105,2024,1040,1977,1977,1977,5600,5600,5600,"2020-15",NA,"1977","3004",2957,2078,70.3
16,2020,428,1283,2748,4353,12,329,1003,1439,1344,886,1469,1469,1469,7069,7069,7069,"2020-16",NA,"1469","2839",2915,1438,49.3
17,2020,457,1201,2387,3951,54,285,630,1075,969,705,1095,1095,1095,8164,8164,8164,"2020-17",NA,"1095","2816",2869,1082,37.7
18,2020,447,1041,2010,3419,51,117,326,608,494,427,667,667,667,8831,8831,8831,"2020-18",NA,"667","2715",2841,578,20.3
19,2020,392,951,1747,3021,-9,34,2,156,27,295,435,435,435,9266,9266,9266,"2020-19",NA,"435","2555",2821,200,7.1
20,2020,375,868,1627,2806,-5,-48,-76,2,-129,175,283,283,283,9549,9549,9549,"2020-20",NA,"283","2494",2794,12,0.4
21,2020,368,837,1658,2799,-37,-46,-44,0,-127,120,217,217,217,9766,9766,9766,"2020-21",NA,"217","2552",2770,29,1
22,2020,372,892,1560,2761,-32,-38,-87,-29,-157,91,149,149,149,9915,9915,9915,"2020-22",NA,"149","2584",2753,8,0.3
23,2020,387,868,1516,2710,-19,-5,-112,-12,-136,56,107,107,107,10022,10022,10022,"2020-23",NA,"107","2574",2735,-25,-0.9
24,2020,406,867,1505,2717,15,-36,-95,10,-116,35,66,66,66,10088,10088,10088,"2020-24",NA,"66","2624",2737,-20,-0.7
25,2020,376,889,1521,2724,-15,-14,-61,32,-90,25,49,49,49,10137,10137,10137,"2020-25",NA,"49","2646",2725,-1,0
26,2020,382,860,1506,2687,-29,-40,-107,-52,-176,12,34,34,34,10171,10171,10171,"2020-26",NA,"34","2626",2717,-30,-1.1
27,2020,403,841,1481,2666,-12,-85,-191,-154,-288,12,32,32,32,10203,10203,10203,"2020-27",NA,"32","2605",2723,-57,-2.1
28,2020,391,844,1471,2647,-11,-26,-152,-64,-189,6,25,25,25,10228,10228,10228,"2020-28",NA,"25","2594",2719,-72,-2.6
29,2020,374,806,1432,2555,-45,-106,-158,-181,-309,7,8,8,8,10236,10236,10236,"2020-29",NA,"8","2521",2720,-165,-6.1
30,2020,408,856,1497,2701,-3,-53,-133,-64,-189,7,18,18,18,10254,10254,10254,"2020-30",NA,"18","2654",2707,-6,-0.2
31,2020,377,874,1504,2694,-22,-29,-48,20,-99,9,22,22,22,10276,10276,10276,"2020-31",NA,"22","2644",2687,7,0.3
32,2020,422,851,1456,2670,10,-56,-112,-34,-158,5,28,28,28,10304,10304,10304,"2020-32",NA,"28","2613",2682,-12,-0.4
