"date","age_group","cases","ggd_code"
2020-01-01,"40-49",1,"GG3406"
2020-01-01,"20-29",1,"GG4506"
2020-01-01,"60-69",1,"GG2707"
2020-01-01,"50-59",1,"GG1911"
2020-01-04,"10-19",1,"GG2014"
2020-01-06,"30-39",1,"GG6106"
2020-01-16,"0-9",1,"GG2514"
2020-01-20,"0-9",1,"GG2014"
2020-01-20,"50-59",1,"GG2014"
2020-01-22,"80-89",1,"GG4506"
2020-01-24,"40-49",1,"GG6106"
2020-01-25,"50-59",1,"GG0706"
2020-01-26,"50-59",1,"GG0111"
2020-01-26,"50-59",1,"GG5206"
2020-01-27,"20-29",1,"GG0111"
2020-01-27,"50-59",1,"GG7014"
2020-01-27,"60-69",1,"GG1911"
2020-01-31,"90+",1,"GG3406"
2020-01-31,"80-89",1,"GG5608"
2020-02-01,"50-59",1,"GG4506"
2020-02-01,"60-69",1,"GG1009"
2020-02-01,"60-69",1,"GG6011"
2020-02-03,"50-59",1,"GG5406"
2020-02-03,"80-89",1,"GG1009"
2020-02-06,"20-29",1,"GG5608"
2020-02-06,"80-89",1,"GG5406"
2020-02-07,"70-79",1,"GG5608"
2020-02-07,"70-79",1,"GG5406"
2020-02-10,"60-69",1,"GG2014"
2020-02-10,"80-89",1,"GG2014"
2020-02-10,"40-49",1,"GG7014"
2020-02-10,"60-69",1,"GG5406"
2020-02-10,"60-69",1,"GG7306"
2020-02-11,"70-79",1,"GG3606"
2020-02-12,"40-49",1,"GG7206"
2020-02-12,"40-49",1,"GG3606"
2020-02-13,"90+",1,"GG3406"
2020-02-14,"60-69",1,"GG3406"
2020-02-14,"40-49",1,"GG0706"
2020-02-14,"50-59",1,"GG2014"
2020-02-15,"60-69",1,"GG2209"
2020-02-16,"60-69",1,"GG5406"
2020-02-16,"50-59",1,"GG6011"
2020-02-16,"40-49",1,"GG5206"
2020-02-17,"60-69",1,"GG5406"
2020-02-17,"70-79",1,"GG5406"
2020-02-17,"70-79",1,"GG1106"
2020-02-18,"70-79",1,"GG5406"
2020-02-19,"20-29",1,"GG2014"
2020-02-19,"70-79",1,"GG3606"
2020-02-19,"60-69",1,"GG5406"
2020-02-19,"60-69",1,"GG1106"
2020-02-19,"70-79",1,"GG6106"
2020-02-20,"70-79",2,"GG3406"
2020-02-20,"40-49",1,"GG2209"
2020-02-20,"50-59",2,"GG3109"
2020-02-20,"50-59",1,"GG1106"
2020-02-20,"90+",1,"GG5206"
2020-02-20,"70-79",1,"GG6106"
2020-02-20,"70-79",1,"GG1911"
2020-02-21,"50-59",1,"GG4816"
2020-02-21,"50-59",1,"GG5608"
2020-02-21,"50-59",1,"GG2014"
2020-02-21,"40-49",1,"GG5406"
2020-02-21,"50-59",1,"GG5406"
2020-02-21,"60-69",1,"GG5406"
2020-02-21,"70-79",1,"GG3109"
2020-02-21,"20-29",1,"GG1106"
2020-02-21,"40-49",1,"GG5206"
2020-02-22,"30-39",1,"GG3406"
2020-02-22,"10-19",1,"GG2014"
2020-02-22,"50-59",1,"GG2707"
2020-02-22,"60-69",1,"GG2514"
2020-02-22,"20-29",1,"GG6106"
2020-02-23,"70-79",2,"GG5406"
2020-02-23,"80-89",1,"GG5406"
2020-02-23,"50-59",1,"GG4506"
2020-02-23,"30-39",1,"GG6011"
2020-02-23,"60-69",1,"GG6011"
2020-02-23,"70-79",1,"GG6011"
2020-02-23,"90+",1,"GG1106"
2020-02-23,"70-79",1,"GG2514"
2020-02-23,"40-49",1,"GG7306"
2020-02-24,"30-39",1,"GG3406"
2020-02-24,"70-79",1,"GG3406"
2020-02-24,"60-69",2,"GG0111"
2020-02-24,"10-19",1,"GG7014"
2020-02-24,"20-29",1,"GG7014"
2020-02-24,"80-89",1,"GG7014"
2020-02-24,"20-29",1,"GG5406"
2020-02-24,"70-79",1,"GG5406"
2020-02-24,"50-59",1,"GG2707"
2020-02-24,"70-79",1,"GG1009"
2020-02-24,"60-69",1,"GG6011"
2020-02-24,"40-49",1,"GG1106"
2020-02-24,"50-59",1,"GG1106"
2020-02-24,"30-39",1,"GG2514"
2020-02-24,"50-59",1,"GG2514"
2020-02-24,"50-59",4,"GG5206"
2020-02-24,"60-69",1,"GG6106"
2020-02-24,"50-59",1,"GG1911"
2020-02-25,"30-39",1,"GG3406"
2020-02-25,"40-49",1,"GG3406"
2020-02-25,"60-69",2,"GG5608"
2020-02-25,"20-29",1,"GG2014"
2020-02-25,"40-49",1,"GG2014"
2020-02-25,"70-79",1,"GG2014"
2020-02-25,"50-59",1,"GG5406"
2020-02-25,"60-69",1,"GG5406"
2020-02-25,"90+",1,"GG5406"
2020-02-25,"80-89",1,"GG4506"
2020-02-25,"90+",1,"GG2707"
2020-02-25,"50-59",1,"GG1009"
2020-02-25,"50-59",1,"GG6011"
2020-02-25,"70-79",2,"GG6011"
2020-02-25,"40-49",1,"GG1413"
2020-02-25,"10-19",1,"GG1106"
2020-02-25,"70-79",1,"GG1106"
2020-02-25,"50-59",1,"GG2514"
2020-02-25,"10-19",1,"GG5206"
2020-02-25,"40-49",1,"GG5206"
2020-02-25,"80-89",1,"GG5206"
2020-02-26,"40-49",1,"GG3406"
2020-02-26,"70-79",1,"GG3406"
2020-02-26,"40-49",1,"GG5608"
2020-02-26,"70-79",1,"GG5608"
2020-02-26,"50-59",1,"GG0706"
2020-02-26,"70-79",1,"GG2209"
2020-02-26,"50-59",1,"GG2014"
2020-02-26,"60-69",1,"GG2014"
2020-02-26,"70-79",2,"GG2014"
2020-02-26,"20-29",2,"GG5406"
2020-02-26,"30-39",1,"GG5406"
2020-02-26,"40-49",1,"GG5406"
2020-02-26,"50-59",3,"GG5406"
2020-02-26,"60-69",2,"GG5406"
2020-02-26,"70-79",2,"GG5406"
2020-02-26,"50-59",2,"GG3109"
2020-02-26,"20-29",1,"GG6011"
2020-02-26,"40-49",1,"GG6011"
2020-02-26,"40-49",1,"GG1413"
2020-02-26,"30-39",1,"GG1106"
2020-02-26,"50-59",1,"GG1106"
2020-02-26,"90+",1,"GG1106"
2020-02-26,"40-49",1,"GG5206"
2020-02-26,"20-29",1,"GG6106"
2020-02-26,"70-79",1,"GG6106"
2020-02-27,"50-59",1,"GG4816"
2020-02-27,"80-89",1,"GG4816"
2020-02-27,"30-39",2,"GG3406"
2020-02-27,"70-79",1,"GG3406"
2020-02-27,"20-29",1,"GG5608"
2020-02-27,"30-39",1,"GG5608"
2020-02-27,"80-89",1,"GG5608"
2020-02-27,"40-49",1,"GG0706"
2020-02-27,"50-59",1,"GG0706"
2020-02-27,"40-49",1,"GG2209"
2020-02-27,"50-59",1,"GG7206"
2020-02-27,"50-59",1,"GG0111"
2020-02-27,"20-29",1,"GG7014"
2020-02-27,"40-49",1,"GG7014"
2020-02-27,"60-69",1,"GG7014"
2020-02-27,"90+",1,"GG7014"
2020-02-27,"20-29",1,"GG5406"
2020-02-27,"30-39",3,"GG5406"
2020-02-27,"40-49",3,"GG5406"
2020-02-27,"50-59",6,"GG5406"
2020-02-27,"60-69",1,"GG5406"
2020-02-27,"70-79",4,"GG5406"
2020-02-27,"0-9",1,"GG4506"
2020-02-27,"30-39",1,"GG4506"
2020-02-27,"70-79",1,"GG4506"
2020-02-27,"10-19",1,"GG3109"
