"date","values.tested_total","values.infected","values.infected_percentage","tests.7d.avg","tests.7d_lagged_7","pos.rate.3d.avg","pos.rate.7d.avg","values.infected_7d.avg","values.infected_7d_lagged","growth_infected","growth_tests"
2020-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-07,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-06-08,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-06-09,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-06-10,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-06-11,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-06-12,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-06-13,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-06-14,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-15,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-16,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-17,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-18,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-19,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-20,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-21,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-22,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-23,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-24,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-25,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-26,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-27,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-28,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-29,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-06-30,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-01,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-02,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-03,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-04,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-05,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-06,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-07,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-08,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-09,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-10,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-11,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-12,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-13,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-14,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-15,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-16,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-17,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
2020-07-18,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
