"","Datum","DOO","DPL","DOO_diff","DPL_diff"
"1",2020-01-01,4,0,0,0
"2",2020-01-04,1,0,0,0
"3",2020-01-06,1,0,0,0
"4",2020-01-16,1,0,0,0
"5",2020-01-20,2,0,0,0
"6",2020-01-22,1,0,0,0
"7",2020-01-24,1,0,0,0
"8",2020-01-25,1,0,0,0
"9",2020-01-26,2,0,0,0
"10",2020-01-27,3,0,0,0
"11",2020-01-29,1,0,0,0
"12",2020-01-31,3,0,0,0
"13",2020-02-01,3,0,0,0
"14",2020-02-03,2,0,0,0
"15",2020-02-06,2,0,0,0
"16",2020-02-07,2,0,0,0
"17",2020-02-10,5,0,0,0
"18",2020-02-11,1,0,0,0
"19",2020-02-12,2,0,0,0
"20",2020-02-13,1,0,0,0
"21",2020-02-14,4,0,0,0
"22",2020-02-15,2,0,0,0
"23",2020-02-16,3,0,0,0
"24",2020-02-17,3,0,0,0
"25",2020-02-18,1,0,0,0
"26",2020-02-19,5,0,0,0
"27",2020-02-20,9,0,0,0
"28",2020-02-21,9,0,0,0
"29",2020-02-22,5,0,0,0
"30",2020-02-23,10,0,0,0
"31",2020-02-24,22,0,0,0
"32",2020-02-25,24,0,0,0
"33",2020-02-26,34,0,0,0
"34",2020-02-27,65,0,0,0
"35",2020-02-28,69,1,0,0
"36",2020-02-29,65,0,0,0
"37",2020-03-01,134,0,0,0
"38",2020-03-02,140,4,0,0
"39",2020-03-03,126,2,0,0
"40",2020-03-04,137,3,0,0
"41",2020-03-05,165,1,0,0
"42",2020-03-06,200,2,0,0
"43",2020-03-07,239,0,0,0
"44",2020-03-08,240,0,0,0
"45",2020-03-09,435,14,0,0
"46",2020-03-10,406,13,0,0
"47",2020-03-11,512,14,0,0
"48",2020-03-12,551,26,0,0
"49",2020-03-13,664,14,0,0
"50",2020-03-14,675,20,0,0
"51",2020-03-15,748,11,0,0
"52",2020-03-16,1034,23,0,0
"53",2020-03-17,794,31,0,0
"54",2020-03-18,831,34,0,0
"55",2020-03-19,778,45,0,0
"56",2020-03-20,947,53,0,0
"57",2020-03-21,806,68,0,0
"58",2020-03-22,702,47,0,0
"59",2020-03-23,1095,106,0,0
"60",2020-03-24,842,127,0,0
"61",2020-03-25,887,143,0,0
"62",2020-03-26,784,167,0,0
"63",2020-03-27,952,121,0,0
"64",2020-03-28,785,81,0,0
"65",2020-03-29,739,61,0,0
"66",2020-03-30,1014,105,0,0
"67",2020-03-31,789,66,0,0
"68",2020-04-01,1023,97,0,0
"69",2020-04-02,901,126,0,0
"70",2020-04-03,936,117,0,0
"71",2020-04-04,842,156,0,0
"72",2020-04-05,713,75,0,0
"73",2020-04-06,1025,127,0,0
"74",2020-04-07,799,197,0,0
"75",2020-04-08,824,211,0,0
"76",2020-04-09,719,167,0,0
"77",2020-04-10,823,192,0,0
"78",2020-04-11,668,166,0,0
"79",2020-04-12,617,118,0,0
"80",2020-04-13,694,84,0,0
"81",2020-04-14,639,116,0,0
"82",2020-04-15,607,138,0,0
"83",2020-04-16,523,187,0,0
"84",2020-04-17,541,158,0,0
"85",2020-04-18,479,125,0,0
"86",2020-04-19,386,77,0,0
"87",2020-04-20,558,94,0,0
"88",2020-04-21,368,106,0,0
"89",2020-04-22,344,108,0,0
"90",2020-04-23,302,108,0,0
"91",2020-04-24,326,79,0,0
"92",2020-04-25,286,87,0,0
"93",2020-04-26,217,82,0,0
"94",2020-04-27,286,43,0,0
"95",2020-04-28,274,60,0,0
"96",2020-04-29,226,90,0,0
"97",2020-04-30,206,72,0,0
"98",2020-05-01,266,69,0,0
"99",2020-05-02,195,44,0,0
"100",2020-05-03,182,27,0,0
"101",2020-05-04,230,38,0,0
"102",2020-05-05,149,56,0,0
"103",2020-05-06,179,37,0,0
"104",2020-05-07,165,46,0,0
"105",2020-05-08,165,36,0,0
"106",2020-05-09,162,31,0,0
"107",2020-05-10,133,20,0,0
"108",2020-05-11,198,33,0,0
"109",2020-05-12,142,43,0,0
"110",2020-05-13,141,35,0,0
"111",2020-05-14,118,25,0,0
"112",2020-05-15,149,22,0,0
