"Week","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90+","Week","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90+"
"2021-40","1810","3365","3127","2886","2709","2240","1617","1019","504","122","2021-40","9.33","17.35","16.12","14.88","13.96","11.55","8.34","5.25","2.6","0.63"
"2021-41","2496","4563","4536","4218","3647","3311","2445","1740","853","200","2021-41","8.91","16.29","16.19","15.06","13.02","11.82","8.73","6.21","3.05","0.71"
"2021-42","3191","5664","6599","6620","5975","5313","4194","3099","1424","346","2021-42","7.52","13.35","15.55","15.6","14.08","12.52","9.89","7.3","3.36","0.82"
"2021-43","4131","7142","8717","8745","7771","7734","6273","4387","2264","571","2021-43","7.16","12.37","15.1","15.15","13.46","13.4","10.87","7.6","3.92","0.99"
"2021-44","7010","11879","12208","12460","11124","10777","8574","5881","2731","720","2021-44","8.41","14.25","14.64","14.95","13.34","12.93","10.29","7.05","3.28","0.86"
"2021-45","12702","18896","16431","17793","16409","14337","11823","7754","3890","991","2021-45","10.5","15.61","13.58","14.7","13.56","11.85","9.77","6.41","3.21","0.82"
"2021-46","19159","25959","20346","23269","22257","17431","13919","8601","4406","1257","2021-46","12.23","16.58","12.99","14.86","14.21","11.13","8.89","5.49","2.81","0.8"
"2021-47","20146","23922","17398","22855","22404","17091","12749","7762","4210","1274","2021-47","13.45","15.97","11.61","15.26","14.95","11.41","8.51","5.18","2.81","0.85"
"2021-48","19353","21448","16554","22475","21036","15528","11638","6998","3750","1158","2021-48","13.83","15.33","11.83","16.06","15.03","11.1","8.32","5","2.68","0.83"
"2021-49","16401","16879","13223","18121","16665","12222","9487","5737","2943","868","2021-49","14.57","15","11.75","16.1","14.81","10.86","8.43","5.1","2.61","0.77"
"2021-50","12310","13238","12870","15259","13508","10665","7528","4212","1767","541","2021-50","13.4","14.41","14","16.6","14.7","11.61","8.19","4.58","1.92","0.59"
"2021-51","8444","10673","16048","15184","12683","10904","6986","3224","987","272","2021-51","9.89","12.5","18.79","17.78","14.85","12.77","8.18","3.77","1.16","0.32"
"2021-52","5997","15468","28011","19432","15477","16542","8463","3693","1037","241","2021-52","5.24","13.53","24.49","16.99","13.53","14.46","7.4","3.23","0.91","0.21"
"2022-01","9107","36176","62174","30667","25441","25368","8828","3283","1104","267","2022-01","4.5","17.87","30.72","15.15","12.57","12.53","4.36","1.62","0.55","0.13"
"2022-02","21929","58663","55365","38196","33094","28232","9852","3444","1228","365","2022-02","8.76","23.43","22.11","15.26","13.22","11.28","3.94","1.38","0.49","0.15"
"2022-03","56881","123304","64101","68563","61773","35454","13134","4542","1658","577","2022-03","13.23","28.68","14.91","15.95","14.37","8.25","3.05","1.06","0.39","0.13"
"2022-04","72046","160799","80482","97890","93178","48227","19167","6821","2305","769","2022-04","12.39","27.64","13.84","16.83","16.02","8.29","3.3","1.17","0.4","0.13"
"2022-05","59400","161144","102143","105114","98375","58094","26004","10018","3508","950","2022-05","9.51","25.79","16.35","16.82","15.75","9.3","4.16","1.6","0.56","0.15"
"2022-06","38928","116698","94777","88253","79914","54288","25875","10076","3687","1019","2022-06","7.58","22.73","18.46","17.19","15.56","10.57","5.04","1.96","0.72","0.2"
"2022-07","19103","56109","65581","59171","48114","39471","20357","8429","3346","902","2022-07","5.96","17.5","20.46","18.46","15.01","12.31","6.35","2.63","1.04","0.28"
"2022-08","11753","30928","54731","45116","33737","31808","18236","8703","3182","851","2022-08","4.92","12.94","22.9","18.87","14.11","13.31","7.63","3.64","1.33","0.36"
"2022-09","12534","50883","113288","74654","54489","57368","29621","14778","5096","1186","2022-09","3.03","12.29","27.37","18.04","13.16","13.86","7.16","3.57","1.23","0.29"
"2022-10","16131","44565","82119","78914","64417","74467","48962","27844","9662","2142","2022-10","3.59","9.92","18.28","17.57","14.34","16.58","10.9","6.2","2.15","0.48"
"2022-11","12597","25690","46490","55221","46183","54286","41201","26109","9231","2204","2022-11","3.95","8.05","14.56","17.3","14.47","17.01","12.91","8.18","2.89","0.69"
"2022-12","8155","15334","29264","38701","33065","39241","32104","21737","7088","1839","2022-12","3.6","6.77","12.92","17.08","14.6","17.32","14.17","9.6","3.13","0.81"
"2022-13","4226","8536","18569","23785","20342","25632","21055","11849","4174","1142","2022-13","3.03","6.13","13.33","17.07","14.6","18.4","15.11","8.51","3","0.82"
"2022-14","1868","4211","10487","13444","11062","13494","9659","4586","1983","685","2022-14","2.61","5.89","14.67","18.81","15.48","18.88","13.51","6.42","2.77","0.96"
"2022-15","550","1524","4402","5243","4071","5202","3446","1690","1024","343","2022-15","2","5.54","16.01","19.07","14.81","18.92","12.53","6.15","3.72","1.25"
"2022-16","268","806","2600","2884","2313","2891","1839","1016","577","212","2022-16","1.74","5.23","16.88","18.72","15.01","18.77","11.94","6.59","3.75","1.38"
"2022-17","183","510","1888","2033","1465","2004","1102","753","382","149","2022-17","1.75","4.87","18.03","19.42","13.99","19.14","10.53","7.19","3.65","1.42"
"2022-18","130","442","1837","2010","1539","1911","1171","683","347","89","2022-18","1.28","4.35","18.08","19.79","15.15","18.81","11.53","6.72","3.42","0.88"
"2022-19","137","448","1345","1489","1300","1557","1025","604","276","72","2022-19","1.66","5.43","16.3","18.04","15.75","18.87","12.42","7.32","3.34","0.87"
"2022-20","142","392","1199","1400","1182","1401","884","550","276","52","2022-20","1.9","5.24","16.03","18.72","15.81","18.73","11.82","7.35","3.69","0.7"
"2022-21","104","365","1053","1346","1097","1320","864","547","233","67","2022-21","1.49","5.22","15.05","19.24","15.68","18.87","12.35","7.82","3.33","0.96"
