"Agegroup","Week","Cases"
"0-9","2020-03",1
"0-9","2020-04",1
"0-9","2020-09",2
"0-9","2020-10",4
"0-9","2020-11",13
"0-9","2020-12",8
"0-9","2020-13",24
"0-9","2020-14",14
"0-9","2020-15",11
"0-9","2020-16",8
"0-9","2020-17",7
"0-9","2020-18",5
"0-9","2020-19",13
"0-9","2020-20",13
"0-9","2020-21",20
"0-9","2020-22",23
"0-9","2020-23",25
"0-9","2020-24",35
"0-9","2020-25",24
"0-9","2020-26",14
"0-9","2020-27",10
"0-9","2020-28",13
"0-9","2020-29",15
"0-9","2020-30",17
"0-9","2020-31",38
"0-9","2020-32",48
"0-9","2020-33",38
"0-9","2020-34",36
"0-9","2020-35",41
"0-9","2020-36",98
"0-9","2020-37",115
"0-9","2020-38",100
"0-9","2020-39",110
"0-9","2020-40",174
"0-9","2020-41",265
"0-9","2020-42",407
"0-9","2020-43",419
"0-9","2020-44",360
"0-9","2020-45",346
"0-9","2020-46",417
"0-9","2020-47",420
"0-9","2020-48",530
"0-9","2020-49",814
"0-9","2020-50",1249
"0-9","2020-51",1197
"0-9","2020-52",1035
"0-9","2020-53",798
"0-9","2021-01",795
"0-9","2021-02",818
"0-9","2021-03",840
"0-9","2021-04",901
"0-9","2021-05",1024
"0-9","2021-06",1132
"0-9","2021-07",1793
"0-9","2021-08",2140
"0-9","2021-09",2418
"0-9","2021-10",3067
"0-9","2021-11",3724
"0-9","2021-12",3915
"0-9","2021-13",3546
"0-9","2021-14",3361
"0-9","2021-15",3921
"0-9","2021-16",3998
"0-9","2021-17",3101
"0-9","2021-18",2334
"0-9","2021-19",1939
"0-9","2021-20",1722
"0-9","2021-21",1752
"0-9","2021-22",1332
"0-9","2021-23",759
"0-9","2021-24",347
"0-9","2021-25",247
"0-9","2021-26",280
"0-9","2021-27",971
"0-9","2021-28",1768
"0-9","2021-29",1593
"0-9","2021-30",1102
"0-9","2021-31",873
"0-9","2021-32",937
"0-9","2021-33",1171
"0-9","2021-34",1552
"0-9","2021-35",2201
"0-9","2021-36",2220
"0-9","2021-37",1816
"0-9","2021-38",1284
"0-9","2021-39",1251
"0-9","2021-40",1810
"0-9","2021-41",2497
"0-9","2021-42",3190
"0-9","2021-43",4131
"0-9","2021-44",7009
"0-9","2021-45",12703
"0-9","2021-46",19160
"0-9","2021-47",20142
"0-9","2021-48",19356
"0-9","2021-49",16402
"0-9","2021-50",12309
"0-9","2021-51",8444
"0-9","2021-52",5996
"0-9","2022-01",9106
"0-9","2022-02",21926
"0-9","2022-03",56884
"0-9","2022-04",72043
"0-9","2022-05",59396
"0-9","2022-06",38924
"0-9","2022-07",19102
"0-9","2022-08",11751
"0-9","2022-09",12518
"0-9","2022-10",16120
"0-9","2022-11",12501
"0-9","2022-12",6063
"10-19","2020-01",1
"10-19","2020-08",1
"10-19","2020-09",21
"10-19","2020-10",26
"10-19","2020-11",24
"10-19","2020-12",29
"10-19","2020-13",47
"10-19","2020-14",91
"10-19","2020-15",79
"10-19","2020-16",87
"10-19","2020-17",49
"10-19","2020-18",39
"10-19","2020-19",35
"10-19","2020-20",40
"10-19","2020-21",51
"10-19","2020-22",74
"10-19","2020-23",78
"10-19","2020-24",85
"10-19","2020-25",50
"10-19","2020-26",43
"10-19","2020-27",52
"10-19","2020-28",95
"10-19","2020-29",139
"10-19","2020-30",178
"10-19","2020-31",305
"10-19","2020-32",459
"10-19","2020-33",442
"10-19","2020-34",438
"10-19","2020-35",539
"10-19","2020-36",979
"10-19","2020-37",1678
"10-19","2020-38",2559
"10-19","2020-39",2998
"10-19","2020-40",4375
"10-19","2020-41",5581
"10-19","2020-42",6790
"10-19","2020-43",6898
"10-19","2020-44",5767
"10-19","2020-45",4550
"10-19","2020-46",5049
"10-19","2020-47",5761
"10-19","2020-48",5821
"10-19","2020-49",8713
"10-19","2020-50",11643
"10-19","2020-51",11388
"10-19","2020-52",7505
"10-19","2020-53",6144
"10-19","2021-01",5610
"10-19","2021-02",4043
"10-19","2021-03",3471
"10-19","2021-04",2849
"10-19","2021-05",2545
"10-19","2021-06",2604
"10-19","2021-07",3381
"10-19","2021-08",4051
"10-19","2021-09",4487
"10-19","2021-10",6006
"10-19","2021-11",7173
"10-19","2021-12",7727
"10-19","2021-13",7170
"10-19","2021-14",7687
"10-19","2021-15",8591
"10-19","2021-16",8495
"10-19","2021-17",8089
"10-19","2021-18",7348
"10-19","2021-19",5528
"10-19","2021-20",4117
"10-19","2021-21",3658
"10-19","2021-22",3034
"10-19","2021-23",2343
"10-19","2021-24",1654
"10-19","2021-25",1095
"10-19","2021-26",3619
"10-19","2021-27",15986
"10-19","2021-28",15960
"10-19","2021-29",8677
"10-19","2021-30",4758
"10-19","2021-31",3332
"10-19","2021-32",3229
"10-19","2021-33",3438
"10-19","2021-34",3236
"10-19","2021-35",3515
"10-19","2021-36",3125
"10-19","2021-37",2679
"10-19","2021-38",2227
"10-19","2021-39",2310
"10-19","2021-40",3365
"10-19","2021-41",4563
"10-19","2021-42",5663
"10-19","2021-43",7142
"10-19","2021-44",11875
"10-19","2021-45",18897
"10-19","2021-46",25959
"10-19","2021-47",23919
"10-19","2021-48",21452
"10-19","2021-49",16878
"10-19","2021-50",13234
"10-19","2021-51",10673
"10-19","2021-52",15467
"10-19","2022-01",36171
"10-19","2022-02",58654
"10-19","2022-03",123298
"10-19","2022-04",160777
"10-19","2022-05",161119
"10-19","2022-06",116688
"10-19","2022-07",56098
"10-19","2022-08",30912
"10-19","2022-09",50867
"10-19","2022-10",44551
"10-19","2022-11",25552
"10-19","2022-12",12008
"20-29","2020-01",1
"20-29","2020-05",1
"20-29","2020-06",1
"20-29","2020-08",3
"20-29","2020-09",35
"20-29","2020-10",80
"20-29","2020-11",281
"20-29","2020-12",361
"20-29","2020-13",505
"20-29","2020-14",692
"20-29","2020-15",692
"20-29","2020-16",592
"20-29","2020-17",363
"20-29","2020-18",241
"20-29","2020-19",180
"20-29","2020-20",151
"20-29","2020-21",241
"20-29","2020-22",192
"20-29","2020-23",185
"20-29","2020-24",188
"20-29","2020-25",108
"20-29","2020-26",106
"20-29","2020-27",103
"20-29","2020-28",159
"20-29","2020-29",284
"20-29","2020-30",491
"20-29","2020-31",929
"20-29","2020-32",1304
"20-29","2020-33",1221
"20-29","2020-34",1137
"20-29","2020-35",1409
"20-29","2020-36",2313
"20-29","2020-37",3278
"20-29","2020-38",4759
"20-29","2020-39",5784
"20-29","2020-40",8230
"20-29","2020-41",9938
"20-29","2020-42",11541
"20-29","2020-43",11864
"20-29","2020-44",9022
"20-29","2020-45",6668
"20-29","2020-46",6014
"20-29","2020-47",5459
"20-29","2020-48",5245
"20-29","2020-49",7151
"20-29","2020-50",9754
"20-29","2020-51",11872
