"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1299,6,1344,2021-07-16
"20 - 24",9,440,3,452,2021-07-16
"25 - 29",13,734,2,749,2021-07-16
"30 - 34",7,1093,10,1110,2021-07-16
"35 - 39",8,1285,11,1304,2021-07-16
"40 - 44",12,1630,12,1654,2021-07-16
"45 - 49",11,2779,25,2815,2021-07-16
"50 - 54",29,4347,73,4449,2021-07-16
"55 - 59",24,5340,128,5492,2021-07-16
"60 - 64",17,5345,241,5603,2021-07-16
"65 - 69",20,5298,502,5820,2021-07-16
"70 - 74",22,6258,1056,7336,2021-07-16
"75 - 79",25,5857,1724,7606,2021-07-16
"80 - 84",14,4563,1960,6537,2021-07-16
"85 - 89",13,2790,1447,4250,2021-07-16
">90",9,1220,602,1831,2021-07-16
